Cancer id,Ranking,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,131,398,Kazakhstan,KAZ,0,1,12.31
20,132,036,Australia,AUS,0,1,12.28
20,133,638,"France, La Réunion",REU,0,1,12.09
20,134,508,Mozambique,MOZ,0,1,11.96
20,135,246,Finland,FIN,0,1,11.94
20,136,752,Sweden,SWE,0,1,11.93
20,137,764,Thailand,THA,0,1,11.81
20,138,031,Azerbaijan,AZE,0,1,11.8
20,138,174,Comoros,COM,0,1,11.8
20,140,203,Czechia,CZE,0,1,11.79
20,141,191,Croatia,HRV,0,1,11.75
20,142,084,Belize,BLZ,0,1,11.71
20,143,634,Qatar,QAT,0,1,11.39
20,144,748,Eswatini,SWZ,0,1,11.26
20,145,144,Sri Lanka,LKA,0,1,11.24
20,146,340,Honduras,HND,0,1,11.21
20,147,116,Cambodia,KHM,0,1,11.17
20,148,218,Ecuador,ECU,0,1,11.16
20,149,578,Norway,NOR,0,1,11.12
20,150,364,"Iran, Islamic Republic of",IRN,0,1,11.02
20,151,788,Tunisia,TUN,0,1,10.85
20,152,894,Zambia,ZMB,0,1,10.78
20,153,724,Spain,ESP,0,1,10.68
20,154,188,Costa Rica,CRI,0,1,10.63
20,155,558,Nicaragua,NIC,0,1,10.62
20,156,591,Panama,PAN,0,1,10.46
20,157,484,Mexico,MEX,0,1,10.31
20,158,152,Chile,CHL,0,1,10.28
20,159,626,Timor-Leste,TLS,0,1,10.24
20,160,104,Myanmar,MMR,0,1,10.09
20,161,408,"Korea, Democratic People Republic of",PRK,0,1,9.84
20,162,426,Lesotho,LSO,0,1,9.75
20,163,392,Japan,JPN,0,1,9.68
20,164,678,Sao Tome and Principe,STP,0,1,9.61
20,165,604,Peru,PER,0,1,9.41
20,166,324,Guinea,GIN,0,1,8.91
20,167,548,Vanuatu,VUT,0,1,8.86
20,168,148,Chad,TCD,0,1,8.79
20,169,646,Rwanda,RWA,0,1,8.35
20,170,072,Botswana,BWA,0,1,8.27
20,171,417,Kyrgyzstan,KGZ,0,1,8.19
20,172,132,Cape Verde,CPV,0,1,7.81
20,173,222,El Salvador,SLV,0,1,7.79
20,174,682,Saudi Arabia,SAU,0,1,7.64
20,175,524,Nepal,NPL,0,1,7.6
20,176,050,Bangladesh,BGD,0,1,7.55
20,177,068,Bolivia,BOL,0,1,7.53
20,178,762,Tajikistan,TJK,0,1,7.38
20,179,320,Guatemala,GTM,0,1,6.83
20,180,270,The Republic of the Gambia,GMB,0,1,6.59
20,181,156,China,CHN,0,1,6.21
20,182,410,"Korea, Republic of",KOR,0,1,5.8
20,183,694,Sierra Leone,SLE,0,1,4.22
20,184,496,Mongolia,MNG,0,1,3.19
20,185,064,Bhutan,BTN,0,1,2.33
